trip_id,PGD,BVU,BVS,PUM,EQS,VEL
S-ED-PGD-VEL-001,5:30:00,5:34:00,5:37:00,5:39:00,5:41:00,5:43:00
S-ED-PGD-VEL-002,5:40:00,5:44:00,5:47:00,5:49:00,5:51:00,5:53:00
S-ED-PGD-VEL-003,5:50:00,5:54:00,5:57:00,5:59:00,6:01:00,6:03:00
S-ED-PGD-VEL-004,6:00:00,6:04:00,6:07:00,6:09:00,6:11:00,6:13:00
S-ED-PGD-VEL-005,6:10:00,6:14:00,6:17:00,6:19:00,6:21:00,6:23:00
S-ED-PGD-VEL-006,6:20:00,6:24:00,6:27:00,6:29:00,6:31:00,6:33:00
S-ED-PGD-VEL-007,6:30:00,6:34:00,6:37:00,6:39:00,6:41:00,6:43:00
S-ED-PGD-VEL-008,6:40:00,6:44:00,6:47:00,6:49:00,6:51:00,6:53:00
S-ED-PGD-VEL-009,6:50:00,6:54:00,6:57:00,6:59:00,7:01:00,7:03:00
S-ED-PGD-VEL-010,7:00:00,7:04:00,7:07:00,7:09:00,7:11:00,7:13:00
S-ED-PGD-VEL-011,7:10:00,7:14:00,7:17:00,7:19:00,7:21:00,7:23:00
S-ED-PGD-VEL-012,7:20:00,7:24:00,7:27:00,7:29:00,7:31:00,7:33:00
S-ED-PGD-VEL-013,7:30:00,7:34:00,7:37:00,7:39:00,7:41:00,7:43:00
S-ED-PGD-VEL-014,7:40:00,7:44:00,7:47:00,7:49:00,7:51:00,7:53:00
S-ED-PGD-VEL-015,7:50:00,7:54:00,7:57:00,7:59:00,8:01:00,8:03:00
S-ED-PGD-VEL-016,8:00:00,8:04:00,8:07:00,8:09:00,8:11:00,8:13:00
S-ED-PGD-VEL-017,8:10:00,8:14:00,8:17:00,8:19:00,8:21:00,8:23:00
S-ED-PGD-VEL-018,8:20:00,8:24:00,8:27:00,8:29:00,8:31:00,8:33:00
S-ED-PGD-VEL-019,8:30:00,8:34:00,8:37:00,8:39:00,8:41:00,8:43:00
S-ED-PGD-VEL-020,8:40:00,8:44:00,8:47:00,8:49:00,8:51:00,8:53:00
S-ED-PGD-VEL-021,8:50:00,8:54:00,8:57:00,8:59:00,9:01:00,9:03:00
S-ED-PGD-VEL-022,9:00:00,9:04:00,9:07:00,9:09:00,9:11:00,9:13:00
S-ED-PGD-VEL-023,9:10:00,9:14:00,9:17:00,9:19:00,9:21:00,9:23:00
S-ED-PGD-VEL-024,9:20:00,9:24:00,9:27:00,9:29:00,9:31:00,9:33:00
S-ED-PGD-VEL-025,9:30:00,9:34:00,9:37:00,9:39:00,9:41:00,9:43:00
S-ED-PGD-VEL-026,9:40:00,9:44:00,9:47:00,9:49:00,9:51:00,9:53:00
S-ED-PGD-VEL-027,9:50:00,9:54:00,9:57:00,9:59:00,10:01:00,10:03:00
S-ED-PGD-VEL-028,10:00:00,10:04:00,10:07:00,10:09:00,10:11:00,10:13:00
S-ED-PGD-VEL-029,10:10:00,10:14:00,10:17:00,10:19:00,10:21:00,10:23:00
S-ED-PGD-VEL-030,10:20:00,10:24:00,10:27:00,10:29:00,10:31:00,10:33:00
S-ED-PGD-VEL-031,10:30:00,10:34:00,10:37:00,10:39:00,10:41:00,10:43:00
S-ED-PGD-VEL-032,10:40:00,10:44:00,10:47:00,10:49:00,10:51:00,10:53:00
S-ED-PGD-VEL-033,10:50:00,10:54:00,10:57:00,10:59:00,11:01:00,11:03:00
S-ED-PGD-VEL-034,11:00:00,11:04:00,11:07:00,11:09:00,11:11:00,11:13:00
