trip_id,VEL,EQS,PUM,BVS,BVU,PGD
S-ED-VEL-PGD-001,5:50:00,5:52:00,5:54:00,5:56:00,5:59:00,6:03:00
S-ED-VEL-PGD-002,6:00:00,6:02:00,6:04:00,6:06:00,6:09:00,6:13:00
S-ED-VEL-PGD-003,6:10:00,6:12:00,6:14:00,6:16:00,6:19:00,6:23:00
S-ED-VEL-PGD-004,6:20:00,6:22:00,6:24:00,6:26:00,6:29:00,6:33:00
S-ED-VEL-PGD-005,6:30:00,6:32:00,6:34:00,6:36:00,6:39:00,6:43:00
S-ED-VEL-PGD-006,6:40:00,6:42:00,6:44:00,6:46:00,6:49:00,6:53:00
S-ED-VEL-PGD-007,6:50:00,6:52:00,6:54:00,6:56:00,6:59:00,7:03:00
S-ED-VEL-PGD-008,7:00:00,7:02:00,7:04:00,7:06:00,7:09:00,7:13:00
S-ED-VEL-PGD-009,7:10:00,7:12:00,7:14:00,7:16:00,7:19:00,7:23:00
S-ED-VEL-PGD-010,7:20:00,7:22:00,7:24:00,7:26:00,7:29:00,7:33:00
S-ED-VEL-PGD-011,7:30:00,7:32:00,7:34:00,7:36:00,7:39:00,7:43:00
S-ED-VEL-PGD-012,7:40:00,7:42:00,7:44:00,7:46:00,7:49:00,7:53:00
S-ED-VEL-PGD-013,7:50:00,7:52:00,7:54:00,7:56:00,7:59:00,8:03:00
S-ED-VEL-PGD-014,8:00:00,8:02:00,8:04:00,8:06:00,8:09:00,8:13:00
S-ED-VEL-PGD-015,8:10:00,8:12:00,8:14:00,8:16:00,8:19:00,8:23:00
S-ED-VEL-PGD-016,8:20:00,8:22:00,8:24:00,8:26:00,8:29:00,8:33:00
S-ED-VEL-PGD-017,8:30:00,8:32:00,8:34:00,8:36:00,8:39:00,8:43:00
S-ED-VEL-PGD-018,8:40:00,8:42:00,8:44:00,8:46:00,8:49:00,8:53:00
S-ED-VEL-PGD-019,8:50:00,8:52:00,8:54:00,8:56:00,8:59:00,9:03:00
S-ED-VEL-PGD-020,9:00:00,9:02:00,9:04:00,9:06:00,9:09:00,9:13:00
S-ED-VEL-PGD-021,9:10:00,9:12:00,9:14:00,9:16:00,9:19:00,9:23:00
S-ED-VEL-PGD-022,9:20:00,9:22:00,9:24:00,9:26:00,9:29:00,9:33:00
S-ED-VEL-PGD-023,9:30:00,9:32:00,9:34:00,9:36:00,9:39:00,9:43:00
S-ED-VEL-PGD-024,9:40:00,9:42:00,9:44:00,9:46:00,9:49:00,9:53:00
S-ED-VEL-PGD-025,9:50:00,9:52:00,9:54:00,9:56:00,9:59:00,10:03:00
S-ED-VEL-PGD-026,10:00:00,10:02:00,10:04:00,10:06:00,10:09:00,10:13:00
S-ED-VEL-PGD-027,10:10:00,10:12:00,10:14:00,10:16:00,10:19:00,10:23:00
S-ED-VEL-PGD-028,10:20:00,10:22:00,10:24:00,10:26:00,10:29:00,10:33:00
S-ED-VEL-PGD-029,10:30:00,10:32:00,10:34:00,10:36:00,10:39:00,10:43:00
S-ED-VEL-PGD-030,10:40:00,10:42:00,10:44:00,10:46:00,10:49:00,10:53:00
S-ED-VEL-PGD-031,10:50:00,10:52:00,10:54:00,10:56:00,10:59:00,11:03:00
S-ED-VEL-PGD-032,11:00:00,11:02:00,11:04:00,11:06:00,11:09:00,11:13:00
S-ED-VEL-PGD-033,11:10:00,11:12:00,11:14:00,11:16:00,11:19:00,11:23:00
S-ED-VEL-PGD-034,11:20:00,11:22:00,11:24:00,11:26:00,11:29:00,11:33:00
S-ED-VEL-PGD-035,11:30:00,11:32:00,11:34:00,11:36:00,11:39:00,11:43:00
S-ED-VEL-PGD-036,11:40:00,11:42:00,11:44:00,11:46:00,11:49:00,11:53:00
S-ED-VEL-PGD-037,11:50:00,11:52:00,11:54:00,11:56:00,11:59:00,12:03:00
S-ED-VEL-PGD-038,12:00:00,12:02:00,12:04:00,12:06:00,12:09:00,12:13:00
S-ED-VEL-PGD-039,12:10:00,12:12:00,12:14:00,12:16:00,12:19:00,12:23:00
S-ED-VEL-PGD-040,12:20:00,12:22:00,12:24:00,12:26:00,12:29:00,12:33:00
S-ED-VEL-PGD-041,12:30:00,12:32:00,12:34:00,12:36:00,12:39:00,12:43:00
S-ED-VEL-PGD-042,12:40:00,12:42:00,12:44:00,12:46:00,12:49:00,12:53:00
S-ED-VEL-PGD-043,12:50:00,12:52:00,12:54:00,12:56:00,12:59:00,13:03:00
